disease,treatment
ALLERGIC RHINITIS,"treatment
 Avoid allergens.
Pharmacological treatment
 Tab. cetrizine 10-20 mg in a single daily dose for 7 days In children 5 mg od or
163
ENT Diseases
 Tab. chlorpheniramine maleate 4 mg 6-8 hourly for 7 days. (Caution: Not recommended
for children under 1 year) Or
 Tab. pheniramine maleate 25-50 mg 8 hourly for 7 days. In children 0.5mg/kg/day
divided in 3 doses. The duration of treatment may need to be extended depending upon
the response of the patient.
 If nasal obstruction and rhinorrhoea, Normal saline nasal drops 1-2 drops in each nostril 2
times daily or xylometazoline 0.1% nasal drops 1-2 drops 2-3 times daily for 5-7 days. In
children 0.05% 1-2 drops 2 times daily. or oxymetazoline 0.5% nasal drops 2-3 drops 2-3
times daily for 5-7 days. In children 0.025% 1-2 drops 2 times in each nostril
 If the signs and symptoms are persistent, Betamethasone/ hydrocortisone nasal drops 2-3
times/ day. Beclomethasone inhaler (50 mcg/puff) 2 puffs 12 hourly or budesonide (50-
100 mcg/puff) 1-2 puffs a day or fluticasone 150 meg/puff 1-2 puffs a day. Or Topical
azelastine intranasal spray 2-3 times a day.
 In case of no response to the above treatment, Tab. prednisolone 5-60 mg/day in 3-4
divided doses for 5-7 days or Tab. dexamethasone 0.5-5.0 mg/day in 3-4 divided doses
for 5-7 days. Or Tab. betamethasone 0.5-5.0 mg/day in 3-4 divided doses for 5-7 days.
Patient education
 This disease is due to hypersensitivity and there is no cure but symptoms can be controlled
effectively by the judicious use of drugs and the patient can lead a normal life.
 Avoid prolong use of topical decongestant nasal drops as it can cause atrophic rhinitis,
anosmia and rhinitis medicamentosa.
 Chlorpheniramine, pheniramine etc. can cause sedation, cognitive impairment. Patient
should avoid tasks requiring alertness and skill. These drugs can also cause dryness of the
mouth and urinary hesitancy.
 Systemic steroids should not be stopped abruptly. Dose to be tapered off before cessation
of therapy.
 Medicated nasal drops should not be used for more than seven days.
References
1. Mechanism and Treatment of Allergic Rhinitis. In: Scott Brown's Otolaryngology. JB Booth (ed), 6th
Edition, 1997. Butterworth’s-Heinemann, pp 4/6/1-16."
COMMON COLD (CORYZA),"treatment
 Steam inhalation 2-3 times/day
 For nasal obstruction, saline nasal drops 1-2drops in each nostril 2-3 times daily
Pharmacological treatment
 Tab. chlorpheniramine 4mg 8 hourly for 5-7 days. (in children 0.35mg/kg/day in 3 equal
doses) or Tab. pheniramine 25mg 2-3 times daily for 5-7days ( in children 0.5mg/kg/day
divided in equal doses) or Tab. cetirizine dihydrochloride 10mg once a day 5-7days (in
children 5mg once per day).
 If patient has malaise and fever,
 Tab. paracetamol 1500mg 3-4 times a day for 2-3 days and then as when required (in
children 40-60mg/kg/day divided in 4 doses)
If nasal obstruction is severe,
 Ephedrine 0.75% nasal drop,1-2drops in each nostril 3 times a day for 2-3 days or
oxymetazoline HCL 0.05% nasal drops,1-2drops in each nostril 3 times a day for 2-3
days( in children 0.025% nasal drops,1 drop 2 times daily or xylometazoline 0.1%, 1-
2drops in each nostril 3 times a day for 2-3 days( in children 0.05%, 1-2 drops 2 times
daily) (Caution: Not recommended in children below 6yrs of age, medicated nasal drops
should not used for more than 7 days)
Patient education
 This is a self-limiting viral infection and usually subsides in one week requiring only
symptomatic relief.
 Antibiotics have no role.
 Chlorpheniramine and pheniramine can cause sedation and cognitive impairment,
therefore should be avoided for tasks requiring alertness and skill.
 Medicated nasal drops used for longer periods can cause rebound congestion and rhinitis
medicamentosa.
References
1. Acute Rhinosinusitis. In: Logan Turner's Disease of the Nose, Throat and Ear. 10th Edition, PP 34"
FURUNCULOSIS OF NOSE (VESTIBULITS),"treatment
 Local application of moist heat will enhance the localization of infection and promote
drainage.
165
ENT Diseases
Pharmacological treatment
 Cap. amoxicillin 500mg 8hrly for 5-7 days (in children 25-50mg /kg/day in 3 divided
dose) or Cap. amoxicillin 250/500mg plus clavulanic acid 125mg 8 hr for 5-7days
 Tab ibuprofen 400-600mg 3 times in a day for 5 days (In children 10mg/kg/dose or Tab
paracetamol 500 mg 6hrly for 2-3days then as and when required till pain and fever
subsides (in children 10mg/kg/dose 6-8hrly).
 Usually improvement in pain, tenderness and inflammation occur within 24-48hr after
imitation of treatment, patient should be monitored regularly. However, if there is flaring
of infection in the form of spreading facial cellulitis then patient should be hospitalized
and shifted to systemic IV antibiotics. If patient is having recurrent furunculosis, then the
patient must be investigated for diabetes mellitus.
Patient education
 Do not fidget with the furuncle as this lies in the dangerous area of the face and cause
serious complications.
 Complete antibiotic therapy to avoid risk of developing antimicrobial resistance
References
1. Disease of external nose and nasal vestibule. In diseases of ear nose and throat, PL Dhingra’s 2ndedition."
ACUTE TONSILLITIS,"treatment
• Tab. paracetamol 500 mg 3-4 times a day for 5 days (children 10 kg/dose) or Tab.
ibuprofen 400 mg-600 mg 3 times a day for 5 days (children 10 mg/kg/dose.)
• Cap.amoxicillin 500mgTDS for 5 days. Or Tab. erythromycin 500mgQIDfor 5-7"
CHRONIC TONSILLITIS,"treatment
 Cap. amoxicillin 500mgTDS/ tab. azithromycin 500mgOD for 5-7 days
 Tab. paracetamol 500mg TDS for 5 days
 Bed rest
 Surgery–tonsillectomy for recurrent episodes of tonsillitis"
ACUTE PAROTITIS,"treatment
 Supportive measures-bed rest, adequate hydration, antipyretics
 Prevention –Measles Mumps Rubella (MMR) vaccine"
BACTERIAL PAROTITIS,"treatment
 Adequate hydration, good oral hygiene
 Warm compression and repeated massage of the gland. Stone in the distal duct –
expressed manually or removed after enlarging the duct orifice with a small incision.
Failure indicates an abscess, which is confirmed by CT scan or USG.
Pharmacological treatment
 Cap. amoxicillin 500mg thrice a day /Tab. amoxicillin with clavulanic acid 625 mg (in
adult)TDS for 7 days.
168
Chapter 11"
STYE (EXTERNAL HORDEOLUM),"treatment
 Dry hot fomentation applied frequently in early stage is useful.
Pharmacological treatment
 Evacuation of the pus by pulling the involved lash or incising the abscess.
 Antibiotic eye drops and ointment-to control and prevent spread of infection
(fluoroquinolones e.g. moxifloxacin 0.5% eye drops 4 to 6 hourlyuntil infection subsides)
 Systemic antibiotics (e.g. Tab.amoxicillin with clavulanic acid 625 mg TDS for 5 days)
 For pain and inflammation e.g. Tab.ibuprofen 400 mg TDS till inflammation subsides.
Patient education
 Maintain ocular hygiene to prevent recurrence."
CHALAZION,"treatment
 Treatment may not be required because at least a third of chalazia resolve spontaneously
and an internal hordeolum may discharge and disappear. Persistent lesions may be treated
as follows:
 Dry hot fomentation applied frequently in early stage is useful.
Pharmacological treatment
 Steroid injection into the lesion is preferable if close to the lacrimal punctum because of the
risk of surgical damage.
- Between 0.2 and 2 ml of 5 mg/mLtriamcinolone diacetate aqueous suspension diluted with
lidocaine (or equivalent) to a concentration of 5 mg/mL is injected through the
conjunctiva into the tissue around the lesion with a 30-gauge needle.
- The success rate following one injection is about 80%. In unresponsive cases a second
injection can be given 2 weeks later.
 Cap. doxycycline (100 mg BD for 7 days) may be required as prophylaxis in patients with
recurrent chalazia, particularly if associated with acne rosacea.
 Incision and curettage, in case of large chalazia, if present for more than 3 – 4 months or
if cosmetically unacceptable.
Patient education
 Recurrence may occur; common causes are uncorrected refractive error, blepharitis and
diabetes."
VIRAL CONJUNCTIVITIS,"treatment
Self-limiting condition that typically gets worse for the first 4 to 7 days after onset and may
not resolve for 2 to 3 weeks or longer if there is corneal involvement. It is highly contagious,
usually for 10 to 12 days from onset as long as the eyes are red (when not on steroids).
 Use dark goggles and avoid close contact with other persons for two weeks.
 Restrict work and school for patients with significant exposure to others.
 Frequent handwashing and cool compresses several times per day.
170
Eye Diseases
Pharmacological treatment
 Preservative-free artificial tears (carboxy methyl cellulose 0.5% eye drops) four to eight
times per day for 1 to 3 weeks. Use single-use vials to limit tip contamination and spread
of disease.
 Antihistamine (e.g., epinastine 0.05% BD) if itching is severe. Anti-inflammatory drops
likeketorolac 0.5% may also be used if needed.
 If a membrane / pseudomembrane are present, use a steroid in form of drops with or
without ointment (e.g. loteprednol 0.5% QID, flurometholone 0.1% ointment QID or
dexamethasone 0.3% ointment QID). Steroid treatment is maintained depending upon the
response and then slowly tapered.
 Routine / unsupervised use of topical antibiotics or steroids should be discouraged.
Patient education
 Patients should avoid touching their eyes, shaking hands, sharing handkerchiefs, towels
with family members.
 Patient’s drops or ointment must not be used by other members of the family."
ALLERGIC CONJUNCTIVITIS,"treatment
 Cool compresses several times per day and avoid offending agents.
Pharmacological treatment
 Topical anti-inflammatory and anti-histaminic drops, depending on the severity
(olopatadine 0.1% OD/BD, nedocromil 2% TDS, or ketotifen 0.025% BD, ketorolac
0.5% QID).
 In severe cases, mild topical steroid (e.g., loteprednol 0.2% or fluorometholone 0.1%,
QID for 1 to 2 weeks) may have to be added. Steroids are gradually tapered as patient
responds to medications.
 Preservative free artificial tears four to eight times per day.
 Investigate for offending agents and avoidance of the same.
 Oral antihistamine (e.g., diphenhydramine 25 mg TDS/QID. or cetrizine/
levocetrizine/montelukast/loratadine 10 mg OD) can be helpful in severe cases and in
cases with associated systemic allergy.
171
Eye Diseases"
VERNAL / ATOPIC CONJUNCTIVITIS,"Treatment
 Treat as for allergic conjunctivitis.
 Mast cell stabilizer (e.g. sodium chromoglycate QID) or a dual action mast cell stabilizer
and antihistamine (e.g., olopatadine 0.1% OD/BD) or ketotifen 0.025%, or azelastine
0.05% for 2 to 3 weeks, prophylactically, before the season starts).
 If a shield ulcer is present, add topical steroid (e.g., loteprednol 0.5% or flurometholone
0.1%, prednisolone 1%, etc) four to six times per day. Taper steroids over 4 week as
condition of patient improves. Shield ulcers may need to be scraped to remove superficial
plaque-like material before re-epithelialization will occur.
 Topical antibiotic (e.g., moxifloxacin 0.3% eye drop, tobramycin 1% QID) is given if
associated infection is there or steroids are prescribed
 Cycloplegic agent (e.g., cyclopentolate 1% BD drops or atropine 1% TDS in form of
drops or ointment) if cornea is involved, when there is much pain due to ciliary spasm.
 Consider cyclosporine 0.05% BD if not responding to the preceding treatment. Maximal
effect may not be seen for several weeks.
"
BACTERIAL CONJUNCTIVITIS (NON-GONOCOCCAL),"treatment
 Patients should avoid touching their eyes, shaking hands, sharing handkerchiefs, towels,
etc.
 Restrict work and school for patients with significant exposure to others.
 Frequent hand washing.
Pharmacological treatment
 Use topical antibiotic therapy [moxifloxacin 0.5% drops QID or more frequent in severe
cases] for 5 to 7 days.
 H. influenzae conjunctivitis should be treated with oral amoxicillin/clavulanic acid (20 to
40 mg/kg/day in three divided doses) because of occasional extra ocular involvement
(e.g., otitis media, pneumonia, and meningitis). Antibiotic therapy is adjusted according
to culture and sensitivity results.
 If associated with dacryocystitis, systemic antibiotics are necessary.
Patienteducation
"
GONOCOCCAL CONJUNCTIVITIS,"treatment
173
Eye Diseases
Initiated if the Gram stain shows gram negative intracellular diplococci or there is a high
suspicion clinically of gonococcal conjunctivitis.
 Inj. ceftriaxone 1 g intramuscularly in a single dose.
 If corneal involvement exists, or cannot be excluded because of chemosis and eyelid
swelling, hospitalize the patient and treat with Inj. ceftriaxone 1 g intravenously every 12
to 24 hours.
 In penicillin-allergic patients, consider an oral fluoroquinolone (e.g., Tab. ciprofloxacin
500 mg, for 5 days) or a single oral dose of Tab. azithromycin 1 g.
 Topical ciprofloxacin ointment QID or fluoroquinolone drops every two hours (e.g.,
gatifloxacin, moxifloxacin, or ciprofloxacin).
 Saline irrigation QID until the discharge resolves.
 Treat for possible chlamydial co-infection (e.g., Tab. azithromycin 1 g single dose or Tab.
doxycycline 100 mg BD for 7 days).
 Treat sexual partners with oral antibiotics for both gonorrhea and chlamydia as described
previously.
Patient education
 The patient should be followed daily until consistent improvement is noted, and then
every 2 to 3 days until the condition resolves.
 The patient and sexual partners should be evaluated by their medical doctors for other
sexually transmitted diseases."
TRACHOMA,"Treatment
The SAFE strategy for trachoma management supported by the WHO and other agencies
encompasses
S Surgery for trichiasis,
A Antibiotics for active disease,
F Facial hygiene and
E Environmental improvement
 Antibiotics should be administered to those affected and to all family members. Single
antibiotic course is not always effective in eliminating infection in an individual, and
communities may need to receive annual treatment to suppress infection.
- A single dose of azithromycin (20 mg/kg up to 1g) is the treatment of choice.
- Topical 1% tetracycline ointment is less effective than oral treatment; it should be given
for 6 weeks.
 Facial cleanliness is a critical preventative measure.
 Environmental improvement such as access to adequate water and sanitation, as well as
control of flies, is important.
 Surgeryis aimed at relieving entropion and trichiasis and maintaining complete lid closure
with bilamellar tarsal rotation."
